abalone,[ˌæbəˈloʊni],n.[动]鲍鱼(软体动物)
actual,[ˈæktʃuəl],"a.实际的,真实的,目前的"
acute,[əˈkjuːt],"a.敏锐的, 急性的,严重的,激烈的"
adapt,[əˈdæpt],"v.适应,改编"
adaptability,[əˌdæptəˈbɪləti],n.适应性
adaptable,[əˈdæptəbl],"a.能适应的,适应性强的,可改编的"
adaptation,[ˌædæpˈteɪʃn],"n.适应, 改编, 改写本"
adaptive,[əˈdæptɪv],"a.适合的, 适应的"
add,[æd],"v.增加,做加法"
addition,[əˈdɪʃn],"n.加,增加,附加物"
additional,[əˈdɪʃənl],"a.另外的,附加的"
additionally,[əˈdɪʃənəli],"ad.另外, 同时"
additive,[ˈædətɪv],a.附加的.n.添加剂
address,"[əˈdres,ˈædres]","n.地址,演说.vt.写地址,演说"
adept,[ˈædept],"a.熟练的, 老练的.n.老手, 擅长者"
adequacy,[ˈædɪkwəsi],"n.适当, 足够,妥善性"
adequate,[ˈædɪkwət],"a.足够的,适当的,胜任的"
adequately,[ˈædɪkwətli],"ad.充分地,适当地"
adhere,[ədˈhɪr],"vi.粘附,遵守"
adjacent,[əˈdʒeɪsnt],"a.邻近的,毗连的"
adjoin,[əˈdʒɔɪn],"v.邻接, 毗连"
adjunct,[ˈædʒʌŋkt],"n.附件, 助手.a.附属的"
adjust,[əˈdʒʌst],"vt.调整,校准.vi.(to)适应"
adjustment,[əˈdʒʌstmənt],"n.调整, 调节"
administer,[ədˈmɪnɪstər],"v.管理, 给予, 执行"
administration,[ədˌmɪnɪˈstreɪʃn],"n.管理,经营,行政机构"
administrative,[ədˈmɪnɪstreɪtɪv],"a.管理的,行政的"
administrator,[ədˈmɪnɪstreɪtər],"n.管理人,行政官,行政部门"
admirable,[ˈædmərəbl],"a.令人钦佩的,令人赞赏的"
admiral,[ˈædmərəl],"n.海军上将, 舰队司令"
admiration,[ˌædməˈreɪʃn],"n.钦佩, 赞美, 羡慕"
admire,[ədˈmaɪər],"v.赞美,钦佩,羡慕"
admission,[ədˈmɪʃn],"n.允许进入, 承认, 许可"
admit,[ədˈmɪt],"v.承认,准许…进(加)入"
admittedly,[ədˈmɪtɪdli],"ad.不可否认的, 公认地"
adobe,[əˈdoʊbi],"n.泥砖,土坯"
adolescence,[ˌædəˈlesns],n.青春期
adolescent,[ˌædəˈlesnt],a.青春期的.n.青少年
adopt,[əˈdɑːpt],"vt.采用,收养,接受"
adoption,[əˈdɑːpʃn],"n.采用, 收养,接受"
adorn,[əˈdɔːrn],"v.装饰,佩戴"
adornment,[əˈdɔːrnmənt],"n.装饰, 装饰品"
adrenaline,[əˈdrenəlɪn],n.肾上腺素(使激动兴奋等)
adrift,[əˈdrɪft],"a./ad.漂流的,漫无目的"
adult,"[əˈdʌlt,ˈædʌlt]",n.成年人
adulthood,"[əˈdʌlthʊd,ˈædʌlthʊd]",n.成人期
advancement,[ədˈvænsmənt],"n.前进, 进步"
advantage,[ədˈvæntɪdʒ],"n.优势,有利条件,利益.vt.有利于vi.获利"
advantageous,[ˌædvənˈteɪdʒəs],a.有利的
advantageously,[ˌædvən'teɪdʒəsli],"ad.有利地,方便地"
advent,[ˈædvent],"n.出现,到来"
adventure,[ədˈventʃər],"n.冒险.v.冒险,大胆说出来"
adventurer,[ədˈventʃərər],"n.冒险家,用不正当手段谋求名利者,投机者"
adventurous,[ədˈventʃərəs],"a.冒险的,惊险的"
adverse,"[ədˈvɜːrs,ˈædvɜːrs]","a.不利的,有害的"
adversely,"[ədˈvɜːrsli,ˈædvɜːrsli]","ad.不利地,逆向地"
adversity,[ədˈvɜːrsəti],"n.灾祸, 逆境"
advertise,[ˈædvərtaɪz],"v.登广告,宣传"
advertisement,[ˌædvərˈtaɪzmənt],"n.广告,宣传"
advertiser,[ˈædvərtaɪzər],"n.登广告者,广告客户"
advice,[ədˈvaɪs],"n.忠告, 建议"
advise,[ədˈvaɪz],"vt.劝告, 忠告, 警告, 建议"
adviser,[ədˈvaɪzər],"n.顾问,劝告者"
advocate,[ˈædvəkeɪt；-et],"vt.提倡,鼓吹,主张,拥护"
aero,[ˈeroʊ],"a.航空的,  飞行的"
aerodynamic,[ˌeroʊdaɪˈnæmɪk],a.空气动力学的
aesthetic,[esˈθetɪk],"a.美学的,审美的"
aesthetically,[esˈθetɪkli],ad.有审美能力地
afar,[əˈfɑːr],"ad.遥远地,在远处"
affair,[əˈfer],"n.[ pl.]事务,事件"
affect,[əˈfekt],"vt.影响,作用,感染"
affection,[əˈfekʃn],"n.影响, 感情,影响"
affectional,[ə'fɛkʃənəl],"a.情感上的,  爱情的"
affiliate,[əˈfɪlieɪt],"v.使隶属于,发生联系.n.附属机构"
affinity,[əˈfɪnəti],"n.密切关系,类同,吸引力"
affirm,[əˈfɜːrm],"v.断言, 确认,肯定"
affix,[əˈfɪks; ˈæfɪks],"vt.使附于, 粘贴 .n.[语]词缀"
afflict,[əˈflɪkt],"vt.使痛苦, 折磨,使苦恼"
affluent,[ˈæfluənt],"a.丰富的, 富裕的"
afford,[əˈfɔːrd],"vt.提供,给予,买得起"
affordable,[əˈfɔːrdəbl],a.负担得起的
affront,[əˈfrʌnt],"v.侮辱,冒犯"
Afghanistan,[æfˈɡænɪstæn],n.阿富汗(西南亚国家)
afield,[əˈfiːld],"ad.远离着(家乡), 去远处,在战场上"
afloat,[əˈfloʊt],"a./ad.飘浮的, 传播的 "
afraid,[əˈfreɪd],a.害怕的
Africa,[ˈæfrɪkə],n.非洲
African,[ˈæfrɪkən],n.非洲人.a.非洲的
after,[ˈæftər],"ad./prep./conj.在...之后,以后"
afterlife,[ˈæftərlaɪf],"n.来世, 后来的岁月,晚年"
afternoon,[ˌæftərˈnuːn],n.午后 int.<非正式>下午好 .adj.下午的
afterward,[ˈæftərwərd],"ad.然后, 后来"
afterwards,[ˈæftərwərdz],"ad.然后, 后来地"
again,"[əˈɡen,əˈɡeɪn]","ad.再,又"
against,"[əˈɡenst,əˈɡeɪnst]","prep.反对,逆,防御,对...不利adj. 对立的"
age,[eɪdʒ],"n.年龄,时代(期),使用年限.v.变旧,成熟"
agency,[ˈeɪdʒənsi],"n.代理处, 中介"
agent,[ˈeɪdʒənt],n.代理(商)
aggravate,[ˈæɡrəveɪt],"vt.使恶化, 加重"
aggregate,[ˈæɡrɪɡət],"n.合计.v.聚集, 集合,合计"
aggregation,[ˌæɡrɪˈɡeɪʃn],"n.集合,集合体,聚集,聚集体"
aggression,[əˈɡreʃn],"n.进攻,侵略"
aggressive,[əˈɡresɪv],"a.侵略的,进攻性的,有进取心的"
aggressiveness,[əˈɡresɪvnəs],"n.进取精神, 侵犯"
agility,[əˈdʒɪləti],"n.敏捷, 活泼,机敏"
agitate,[ˈædʒɪteɪt],"v.搅动,煽动,使…激动"
agitation,[ˌædʒɪˈteɪʃn],"n.鼓动,焦虑"
ago,[əˈɡoʊ],"ad.以前的,以往的"
agonize,[ˈæɡənaɪz],"v.使极度痛苦, 折磨 "
agrarian,[əˈɡreriən],"a.有关土地的, 耕地的"
agree,[əˈɡriː],"vi.同意,赞成,一致"
agreement,[əˈɡriːmənt],"n.同意, 一致"
agricultural,[ˌæɡrɪˈkʌltʃərəl],"a.农业的,农艺的"
agriculturalist,,n.农学家
agriculturally,,ad.农业上
agriculture,[ˈæɡrɪkʌltʃər],"n.农业,农学"
ahead,[əˈhed],"a./ad.在前, 向前"
aid,[eɪd],"n.帮助,资助"
aide,[eɪd],"n.助手, 副官"
aie,,n.急性包涵(体)脑炎
ail,[eɪl],"vi.生病,使苦恼"
aim,[eɪm],"n.目标v.对...瞄准,打算"
air,[er],n.空气.vt.使通风
airborne,[ˈerbɔːrn],"a.空运的, 空气传播的"
aircraft,[ˈerkræft],n.航行器
airflow,[ˈerfloʊ],n.气流
airplane,[ˈerpleɪn],n.飞机
airport,[ˈerpɔːrt],"n.机场,航空站"
airstream,[ˈerstriːm],n.气流
airway,[ˈerweɪ],"n.空中航线, 通风孔"
airy,[ˈeri],"a.通风的, 轻快的"
akin,[əˈkɪn],"a.同类的,近似的"
ala,['elə],"n.(昆虫的)翼, 翅"
alarm,[əˈlɑːrm],"n.警报.vt.恐吓, 警告"
Alaska,[əˈlæskə],n.阿拉斯加州(美国州名)
Alaskan,,n.阿拉斯加人.a.阿拉斯加的
albedo,[æl'bido],n.[天文](星体)反照率
alchemist,[ˈælkəmɪst],n.炼金术士
alcohol,[ˈælkəhɔːl],"n.酒精,酒"
alder,[ˈɔːldər],n.[植]桤木
aldosterone,"[æl'dɑstə,ron]","n.[生化]醛甾酮,醛固酮"
alert,[əˈlɜːrt],a.警觉的.n.戒备
alertness,[əˈlɜːrtnəs],"n.警戒, 机敏"
alga,['ælgɚ],"n.藻类,海藻"
algae,"[ˈældʒiː,ˈælɡiː]",n.水藻
alien,[ˈeɪliən],a.外国(人)的.n.外国(星)人
alienate,[ˈeɪliəneɪt],"v.疏远,离间"
align,[əˈlaɪn],"v.排列,使结盟"
alike,[əˈlaɪk],"a.相同的, 相似的 "
alive,[əˈlaɪv],"a.活着的, 活泼的"
alkali,[ˈælkəlaɪ],n.碱.a.碱性的
alkaline,[ˈælkəlaɪn],"a.碱性的,碱的"
alkaloid,[ˈælkəlɔɪd],n.[化]生物碱
all,[ɔːl],"a.全部的.pron.整体,全部"
allay,[əˈleɪ],"vt.减轻, 减少,使…平静"
allegory,[ˈæləɡɔːri],n.寓言
Allende,,n.[地名]阿连德(在墨西哥)
alligator,[ˈælɪɡeɪtər],n.产于美洲的鳄鱼
allocate,[ˈæləkeɪt],"vt.分派, 分配,使坐落于"
allocation,[ˌæləˈkeɪʃn],"n.分配,安置,配置"
allow,[əˈlaʊ],"vt.允许(…进入),同意给,承认,考虑"
alloy,['ælɔɪ],n.合金 
allude,[əˈluːd],"vi.暗指,提及"
allusion,[əˈluːʒn],"n.提及, 暗示"
alluvial,[əˈluːviəl],"a.冲积的, 淤积的"
almanac,"[ˈɔːlmənæk,ˈælmənæk]","n.历书, 年鉴"
almost,[ˈɔːlmoʊst],"ad.几乎,差不多"
aloft,[əˈlɔːft],"ad.在高处, 在上,在空中"
alone,[əˈloʊn],a.单独的
along,[əˈlɔːŋ],prep.沿着.ad.向前 
alongside,[əˌlɔːŋˈsaɪd],prep./ad.在旁边
aloof,[əˈluːf],a.冷漠的.ad.远离地
aloud,[əˈlaʊd],ad.大声地
alp,[ælp],n.高山
alpha,[ˈælfə],n.希腊字母的第一个字母
alphabet,[ˈælfəbet],n.字母表
alphabetically,[ˌælfəˈbetɪkli],ad.按字母表顺序地
alpine,[ˈælpaɪn],"a.高山的, 阿尔卑斯山的"
already,[ɔːlˈredi],"ad.已经,先前"
also,[ˈɔːlsoʊ],"ad.也,同样conj. 并且,另外"
alter,[ˈɔːltər],"v.改变,修改"
alteration,[ˌɔːltəˈreɪʃn],"n.变更, 改造,修改"
alternate,[ˈɔːltərnət],"v.交替, 轮流.a.交替的,间隔的"
alternately,[ˈɔːltərnətli],"ad.交替地,轮流地"
alternative,[ɔːlˈtɜːrnətɪv],"a.选择性的,二中择一的"
alternatively,[ɔːlˈtɜːrnətɪvli],"ad.做为选择,二者择一地"
although,[ɔːlˈðoʊ],"conj.虽然,尽管"
altitude,[ˈæltɪtuːd],n.高度(海拔)
altogether,[ˌɔːltəˈɡeðər],"a.完全地, 总而言之,总共"
alumina,[əˈluːmɪnə],n.[化]氧化铝(亦称矾土)
aluminum,[əˈlumənəm],n.铝
alumnus,[əˈlʌmnəs],"n.男毕业生, 男校友"
always,[ˈɔːlweɪz],"ad.总是,一直,始终,"
amass,[əˈmæs],"v.积累,积聚"
amateur,"[ˈæmətər,ˈæmətʃər]",n.业余爱好者
amaze,[əˈmeɪz],vt.使吃惊
amazement,[əˈmeɪzmənt],"n.惊愕, 惊异"
amazingly,[əˈmeɪzɪŋli],"ad.惊奇地, 惊人地"
ambidextrous,[ˌæmbiˈdekstrəs],a.十分灵巧的
ambience,[ˈæmbiəns],"n.周围环境, 气氛,布景"
ambient,[ˈæmbiənt],"a.周围的,环绕的,外界的.n.周围环境"
ambition,[æmˈbɪʃn],"n.野心, 雄心,志气"
ambitious,[æmˈbɪʃəs],a.有雄心的
ameliorate,[əˈmiːliəreɪt],"vt.改善, 改进.vi.变得更好"
amenable,"[əˈmiːnəbl,əˈmenəbl]","a.顺从的,对…负有责任(义务)的"
amendment,[əˈmendmənt],"n.改善, 改正,修正案"
amenity,"[əˈmenəti,əˈmiːnəti]","n.宜人, 礼仪,舒适"
America,[əˈmɛrɪkə],"n.美国,美洲"
American,[əˈmerɪkən],n.美（洲）国人.a.美国的
Americana,"[əˌmerɪˈkɑːnə,əˌmerɪˈkænə]","n.有关美国的文物, 史料"
Americanism,[əˈmerɪkənɪzəm],"a.美国所创, 美国风俗, 美国精神"
amid,[əˈmɪd],prep.  在...中
amino,[ə'mino],a.氨基的.n.[化学] 氨基
ammonia,[əˈmoʊniə],"n.[化]氨, 氨水"
amnesia,[æmˈniːʒə],"n.健忘症,记忆缺失"
amniotic,"[,æmnɪ'otɪk]",a.[昆] 羊膜的
among,[əˈmʌŋ],prep.在…之间
amount,[əˈmaʊnt],n.数量.vi.合计
ample,[ˈæmpl],"a.充足的, 丰富的"
amplification,[ˌæmplɪfɪˈkeɪʃn],"n.扩大,详述,放大（率）"
amplifier,[ˈæmplɪfaɪər],"n.扩音器, 放大器"
amplify,[ˈæmplɪfaɪ],"v.放大,详述,增强"
Amsterdam,"[,æmstɚ'dæm]",n.阿姆斯特丹(荷兰首都)
amuse,[əˈmjuːz],"vt.使发笑,使愉快"
amusement,[əˈmjuːzmənt],"n.娱乐, 消遣"
an,"[ən,æn]","art.一,每一"
anaerobic,[ˌænəˈroʊbɪk],"a.厌氧的,厌气的"
analogous,[əˈnæləɡəs],a.类似的
analogy,[əˈnælədʒi],"n.类似, 类推"
analysis,[əˈnæləsɪs],"n.分析,解析"
analyst,[ˈænəlɪst],"n.分析家, 分解者"
analyze,[ˈænəlaɪz],"vt.分析,分解"
anathema,[əˈnæθəmə],"n.诅咒,被诅咒者"
anatomy,[əˈnætəmi],"n.剖析, 解剖学"
ancestor,[ˈænsestər],"n.祖先,祖宗"
ancestral,[ænˈsestrəl],a.祖先的
ancestry,[ˈænsestri],"n.祖先(集合称), 血统"
anchor,[ˈæŋkər],n.锚.v.抛锚
ancient,[ˈeɪnʃənt],"a.远古的,旧的,过时的"
and,"[ənd,ən,n,ænd]","conj.和,那么,然后,而且"
Andromeda,[æn'drɑmədə],"n.埃塞俄比亚的公主, 仙女座"
anecdotal,[ˌænɪkˈdoʊtl],"a.轶事的,趣闻的"
anemone,[əˈneməni],"n.[植]银莲花, [动]海葵"
anew,[əˈnuː],"ad.重新, 再"
anger,[ˈæŋɡər],n.怒.v.恼火
angiosperm,"['ændʒɪo,spɝm]",n.被子植物
angiotensin,"[,ændʒɪo'tɛnsən]",n.[医]血管紧缩素
angle,[ˈæŋɡl],"n.[数]角,角落 "
Anglo,[ˈæŋɡloʊ],"n.盎格鲁, 英裔美国人"
angry,[ˈæŋɡri],"a.发怒的,生气的"
angstrom,[ˈæŋstrəm],n.[物理]埃(长度单位)
angular,[ˈæŋɡjələr],"a.[生物] 有角的,生硬的,笨拙的"
animal,[ˈænɪml],n.动物
animate,[ˈænɪmeɪt],v.鼓舞.a.生气勃勃的
animation,[ˌænɪˈmeɪʃn],"n.兴奋,活跃"
ankle,[ˈæŋkl],n.[解]踝
annex,"[ˈæneks,əˈneks]","n.附件.vt.并吞, 附加"
annihilate,[əˈnaɪəleɪt],"v.消灭,湮灭,废止"
announce,[əˈnaʊns],"vt.宣布,宣告"
annual,[ˈænjuəl],a.年度的
annually,[ˈænjuəli],"ad.每年,按年计算"
anomaly,[əˈnɑːməli],"n.不规则, 异常的人或物"
anonymous,[əˈnɑːnɪməs],"a.无名的,匿名的"
another,[əˈnʌðər],pron./a.再(另)一个
answer,[ˈænsər],"n.答案.v.回答,响应"
ant,[ænt],n.蚂蚁
antagonism,[ænˈtæɡənɪzəm],"n.对抗(状态), 对抗性"
antagonistic,[ænˌtæɡəˈnɪstɪk],"a.敌对的,对抗性的"
antarctic,[ænˈtɑːrktɪk],a.南极的
antarctica,[ænˈtɑːrktɪkə],n.南极洲
anteater,[ˈæntiːtər],n.[动]食蚁动物
antecedent,[ˌæntɪˈsiːdnt],a.先行的.n.祖先 
antelope,[ˈæntɪloʊp],n.羚羊
antenna,[ænˈtenə],n.天线
anthocyanin,"[,ænθə'saɪənɪn]","n.[植]花青素, [化]花色醣苔"
anthropological,[ˌænθrəpəˈlɑːdʒɪkl],"a.人类学的,人类学上的"
anthropologically,"[,ænθrəpə'lɑdʒɪkli]", ad.人类学上
anthropologist,[ˌænθrəˈpɑːlədʒɪst],n.人类学家
anthropology,[ˌænθrəˈpɑːlədʒi],n.人类学
anthropomorphism,[ˌænθrəpəˈmɔːrfɪzəm],"n.拟人论,拟人观"
anti,[ˈænti],n.反对者.a.反对的
antibiotic,[ˌæntibaɪˈɑːtɪk],n.抗生素 
anticipate,[ænˈtɪsɪpeɪt],"v.预期(料),期望,占先"
antifungal,"[,ænti'fʌŋɡəl; ,æntaɪfʌŋɡəl]","a.抗真菌的, 杀真菌的"
antipathy,[ænˈtɪpəθi],"n.憎恶, 反感"
antiquate,"['æntə,kwet]","a.旧式的,过时的"
antiquity,[ænˈtɪkwəti],n.古代
anvil,[ˈænvɪl],n.[解]砧骨
anxiety,[æŋˈzaɪəti],"n.忧虑, 焦急,渴望"
anxious,[ˈæŋkʃəs],"a.渴望的, 忧虑的,急切的"
anxiously,[ˈæŋkʃəsli],"ad.忧虑地, 不安地"
any,[ˈeni],pron.无论哪个.a.任何的
anymore,[ɛnɪ'mɔr],"ad.不再, 再也不"
anyone,[ˈeniwʌn],pron.任何一个
anyplace,[ˈenipleɪs],ad.任何地方
anything,[ˈeniθɪŋ],pron.任何事
anytime,"['ɛnɪ,taɪm]","ad.任何时候, 无论何时"
anyway,[ˈeniweɪ],"ad.无论如何, 总之"
anywhere,[ˈeniwer],ad.无论何处
apace,[əˈpeɪs],"ad.快速地, 急速地"
apart,[əˈpɑːrt],"ad.相间隔,分离.a.分离(隔)的"
apartment,[əˈpɑːrtmənt],n.公寓住宅
ape,[eɪp],n.猿
aphid,[ˈeɪfɪd],n.[动]蚜虫
apiece,[əˈpiːs],"ad.每个, 每人, 各"
appalachian,,a.阿帕拉契山脉的
apparatus,[ˌæpəˈrætəs],"n.器械, 设备, 仪器,机构"
apparent,[əˈpærənt],"a.明显的,表面上的"
appeal,[əˈpiːl],"n./v.呼吁,上诉,感染力"
appear,[əˈpɪr],"vi.出现,显露"
appearance,[əˈpɪrəns],"n.出现,露面,外貌"
appetite,[ˈæpɪtaɪt],"n.食欲,欲望,嗜好"
apple,[ˈæpl],"n.苹果,珍宝"
applicability,"[ˌæplɪkəˈbɪləti,əˌplɪkəˈbɪləti]","n.适用性, 适应性"
applicable,"[ˈæplɪkəbl,əˈplɪkəbl]","a.合适的, 适用的,"
application,[ˌæplɪˈkeɪʃn],"n.请求,申请,应用"
apply,[əˈplaɪ],"v.申请,应用,适用"
appoint,[əˈpɔɪnt],"v.任命, 委派,指定"
appointment,[əˈpɔɪntmənt],"n.约会, 指定,(旅馆,船舶等的)陈设,设备"
apportion,[əˈpɔːrʃn],"v.分配,分派,分摊"
appraisal,[əˈpreɪzl],"n.估计, 评估,估价(尤指估价财产,以便征税）"
appreciable,[əˈpriːʃəbl],"a.可感知的,相当可观的"
appreciably,[əˈpriːʃəbli],"ad.略微, 有一点,可察觉地"
appreciate,[əˈpriːʃieɪt],"v.赏识, 感激.vi.增值"
appreciation,[əˌpriːʃiˈeɪʃn],"n.感谢, 感激,欣赏,鉴别"
apprentice,[əˈprentɪs],n.学徒.v.当学徒
approach,[əˈproʊtʃ],"v.靠近,接近.n.途径,方法"
appropriate,[əˈproʊpriət],a.适当的
appropriately,[əˈproʊpriətli],"ad.适当地,合适的,相称地"
approval,[əˈpruːvl],"n.赞同,批准, 认可"
approve,[əˈpruːv],"v.赞成, 批准"
approximate,[ə'prɑksɪmət],"a.近似的,大约的.v.近似,接近"
April,[ˈeɪprəl],n.四月
aptly,[ˈæptli],"ad.适当地,适宜地,巧妙地"
aquatic,[əˈkwɑːtɪk],"a.水的,水生的.n.水生动物"
aqueduct,[ˈækwɪdʌkt],"n.沟渠,导水管,渡槽"
aquifer,[ˈækwɪfər],"n.含水土层,蓄水层"
Arab,[ˈærəb],n./a.阿拉伯人(的)
Arabian,[əˈreɪbiən],n.阿拉伯人.a.阿拉伯(人)的
aragonite,"[ə'rægə,naɪt]","n.[矿]霰石, 文石"
arbitrary,[ˈɑːrbɪtreri],"a.任意的, 武断的"
arboreal,[ɑːrˈbɔːriəl],a.树木的
arc,[ɑːrk],"n.弧, 弓形"
arcade,[ɑːrˈkeɪd],n.拱廊
arch,[ɑːrtʃ],n.拱门v.(使)弯成弓形 
archaeocyte,,n.原始(生殖)细胞
archaeological,,a.考古学的
archaeologist,[ˌɑːrkiˈɑːlədʒɪst],n.考古学家
archaeology,[ˌɑːrkiˈɑːlədʒi],n.考古学
archaeopteryx,[ˌɑːrkiˈɑːpterɪks],n.始祖鸟(古代生物)
